Company Name,Last Update of this Information,Contact Email,Logo,Website,Country of HQ,Countries of Operation / Service,Company Size (# Employees),Year Founded,Legal Entity Name,Primary Focus,Subdomains,Technologies,Service Type,Target Customer,Short Description (about 500 words)
Ensilica,2024-10-05,info@ensilica.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20waiting%20room.svg,https://www.ensilica.com/,UK,Global,150,2001,EnSilica Plc,ASIC Design for AI & HPC,Custom Silicon; AI Accelerators; RFIC;,eSi-RISC; TSMC process; FinFET;,Hardware Design; Services; IPs;,Automotive; Industrial; Communications;,"EnSilica is a leading designer of custom ASICs (Application Specific Integrated Circuits) for high-performance computing, AI, and communications applications. With design centers in the UK and across Europe, EnSilica provides full turnkey design services, from specification to supply of finished chips.

Their expertise include high-speed networking, AI acceleration, and low-power hardware design. EnSilica's own IP, such as the eSi-RISC processor family, is used to build efficient and specialized chips for a variety of markets, including automotive and industrial automation.

As the demand for specialized AI hardware grows, EnSilica helps European companies develop their own sovereign silicon, optimized for their specific requirements. Their deep understanding of semiconductor manufacturing and advanced packaging makes them a vital partner in the European chip ecosystem."
Seldon,2024-09-15,hello@seldon.io,https://www.seldon.io/hubfs/seldon-logo.svg,https://www.seldon.io/,UK/Global,Global,100,2014,Seldon Technologies Ltd.,MLOps & Model Deployment,Model Monitoring; Explainable AI; Governance;,Seldon Core; Alibi; Cloud Native;,Open Source; Enterprise Software;,Enterprise; Tech; Finance;,"Seldon is a leader in the MLOps space, providing tools to simplify and scale the deployment, monitoring, and management of machine learning models. Their open-source platform, Seldon Core, is used by thousands of organizations worldwide to turn ML models into production-ready microservices.

Seldon's enterprise offerings add advanced features for model monitoring, drift detection, and explainability (Alibi), ensuring that AI systems are reliable, fair, and compliant. Based in the UK with a strong European user base, Seldon is at the forefront of the movement towards more robust and professional AI engineering.

Their focus on cloud-native architectures and open standards makes their solutions highly flexible and integrable. Seldon's mission is to help companies bridge the gap between data science and production, accelerating the time-to-value for machine learning projects."
Quantinuum (EU),2024-08-10,info@quantinuum.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/health%20diabetes.svg,https://www.quantinuum.com/,UK/Global,Global,450,2021,Quantinuum Ltd.,Full-Stack Quantum Computing,Trapped-Ion Quantum; Quantum Chemistry; Cybersecurity;,H-Series; TKET; InQuanto;,Hardware; Software; Services;,Pharma; Finance; Government;,"Quantinuum, formed by the merger of Honeywell Quantum Solutions and Cambridge Quantum, is the world's largest integrated quantum computing company. While global in reach, its European operations in the UK and across the EU are central to its hardware research and software development.

Quantinuum builds high-fidelity trapped-ion quantum processors (H-Series) and develops a comprehensive software stack, including the TKET compiler and the InQuanto platform for quantum chemistry. Their technology is used by leading pharmaceutical and chemical companies to accelerate drug discovery and materials development.

Quantinuum is also a pioneer in quantum-natural language processing and quantum-enhanced cybersecurity. Their commitment to building a full-stack, hardware-agnostic ecosystem makes them a key driver of the global quantum industry, with a strong emphasis on scientific excellence and practical applications."
Nebulon,2024-07-20,info@nebulon.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/object%20mail%20email%20letter.svg,https://www.nebulon.com/,USA/UK,Global,120,2018,Nebulon Ltd.,Smart Infrastructure for AI,Cloud-Managed Storage; Edge AI; Infrastructure-as-Code;,Services Processing Unit (SPU); Cloud Control;,Hardware; Software; Services;,Enterprise; Edge Computing; IT Services;,"Nebulon provides ""smart infrastructure"" for high-performance and AI workloads, combining cloud-managed storage with on-premises hardware. Their Services Processing Unit (SPU) is a PCIe card that offloads storage and management tasks from the server CPU, providing consistent performance and simplified operations.

Nebulon's cloud-based control plane allows for automated deployment and management of massive infrastructure, ideal for scaling AI clusters. In Europe, Nebulon focuses on providing efficient and secure storage solutions for edge computing and private clouds.

Their technology enables organizations to build sovereign and high-performing data environments with the ease of use of a public cloud. By reducing the overhead of infrastructure management, Nebulon helps IT teams focus on delivering value from their data and AI applications."
Aethra,2024-06-15,contact@aethra.eu,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/object%20currency%20exchange.svg,https://www.aethra.eu/,Germany,EU,30,2021,Aethra Computing GmbH,Cloud-Native HPC,GPU Orchestration; HPC-as-a-Service; Kubernetes;,Slurm-on-K8s; AI Job Scheduling;,Software; Services;,Research; Biotech; Engineering;,"Aethra Computing is a German startup focused on making high-performance computing more accessible and easier to manage in cloud-native environments. They provide a platform that integrates traditional HPC schedulers like Slurm with modern orchestration tools like Kubernetes, enabling users to run hybrid workloads efficiently.

Aethra's technology simplifies the provisioning of GPU clusters and the management of complex AI and simulation jobs. Their mission is to bridge the gap between the scientific computing world and the modern DevOps ecosystem.

Based in Munich, the company works with research institutes and industrial R&D teams to optimize their compute resources and accelerate their innovation cycles. Aethra's focus on open-source and standard technologies makes their solution highly adaptable and future-proof."
T-Systems (HPC Services),2024-05-30,hpc@t-systems.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20caution%20danger.svg,https://www.t-systems.com/,Germany,Global,27000,1995,T-Systems International GmbH,Managed HPC & Sovereign Cloud,Cloud Supercomputing; AI Platforms; Data Sovereignty;,Open Telekom Cloud; NVIDIA AI;,Services; Cloud; Consulting;,Public Sector; Automotive; Healthcare;,"T-Systems, the business customer division of Deutsche Telekom, provides a comprehensive set of managed HPC and AI services. They offer access to high-performance compute resources through the Open Telekom Cloud, with a strong focus on data sovereignty and security, meeting the strict requirements of European organizations.

T-Systems' HPC experts help clients design, migrate, and operate their large-scale computing workloads, from automotive crash simulations to medical research. The company also provides specialized AI platforms for model training and deployment, integrating the latest hardware and software from partners like NVIDIA.

T-Systems' role as a trusted European cloud provider makes it a key partner for public sector entities and industries that require the highest levels of data protection and operational reliability."
Riverlane,2024-04-10,info@riverlane.com,https://www.riverlane.com/logo.svg,https://www.riverlane.com/,UK,Global,100,2018,Riverlane Ltd.,Quantum Operating Systems,Quantum Error Correction; Control Systems;,Deltaflow.OS; Quantum Chip IPs;,Software; Hardware IP; Services;,Quantum Hardware Providers; Research;,"Riverlane is building the operating system for quantum computers, Deltaflow.OS. Their mission is to solve the biggest challenge in quantum computing: error correction. By providing a high-performance software and hardware layer that interfaces directly with the quantum hardware, Riverlane enables qubits to perform more complex calculations with fewer errors.

Their technology is hardware-agnostic, working with various types of qubits, from superconducting to trapped ions. Based in Cambridge, Riverlane collaborates with leading quantum hardware companies and research groups worldwide.

Their work is essential for making quantum computers useful for practical applications in chemistry, materials science, and cryptography. Riverlane's team of physicists, engineers, and computer scientists are at the forefront of the global effort to build a fault-tolerant quantum computer."
Nabla,2024-03-20,contact@nabla.com,https://www.nabla.com/logo.svg,https://www.nabla.com/,France,Global,60,2018,Nabla SAS,AI for Healthcare,Clinical AI; NLP; Medical Assistant;,LLMs; Privacy-Preserving AI;,Software-as-a-Service; API;,Doctors; Hospitals; Health Tech;,"Nabla is a French AI company dedicated to transforming healthcare with a digital medical assistant. Their platform uses advanced natural language processing to help doctors automate administrative tasks, such as clinical documentation and patient communication, allowing them to focus more on patient care.

Nabla's AI is built with a strong focus on privacy and data security, complying with medical regulations and ensuring that patient data is handled ethically. Based in Paris, the company is part of the vibrant French AI ecosystem, leveraging the country's strong talent pool in machine learning and medicine.

Nabla's mission is to make healthcare more efficient and accessible through the power of artificial intelligence, providing doctors with the tools they need to deliver better outcomes."
Oxford Quantum Circuits (OQC),2024-02-15,info@oxfordquantumcircuits.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/health%20mri%20health%20care%20hospital%20medicine%20radiation%20x%20ray.svg,https://oxfordquantumcircuits.com/,UK,Global,80,2017,Oxford Quantum Circuits Ltd.,Quantum Computing Hardware,Coaxmon Qubits; Quantum Cloud;,Superconducting circuits; Quantum-as-a-Service;,Hardware; Services;,Enterprise; Research; Finance;,"Oxford Quantum Circuits (OQC) is a leading European quantum computing company that builds quantum processors using a unique three-dimensional architecture called the ""Coaxmon."" This design offers superior scalability and performance by reducing the complexity of the wiring needed to control the qubits.

OQC provides access to its quantum computers through a cloud platform (OQC Toshiko) and through partnerships with major cloud providers. Their mission is to make quantum computing accessible to enterprise customers, enabling them to solve problems that are currently impossible.

Based in Oxford, the company is a key player in the UK's thriving quantum ecosystem, attracting top international talent and collaborating with global partners to drive the adoption of quantum technology."
LightOn,2024-01-20,contact@lighton.ai,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/animal%20bear.svg,https://www.lighton.ai/,France,Global,50,2016,LightOn SAS,Photonic AI & Large Language Models,Optical Computing; Generative AI; AI for Business;,Optical Processing Unit (OPU); Paradigm platform;,Hardware; Software; Services;,Enterprise; Research; Public Sector;,"LightOn is a French AI company that pioneered the use of optical computing for accelerating large-scale machine learning. Their Optical Processing Unit (OPU) uses light to perform massive matrix-vector multiplications, offering extreme energy efficiency and speed for specific AI tasks.

Today, LightOn also focuses on the software layer with its Paradigm platform, which helps organizations deploy and manage large language models (LLMs) securely. LightOn is a key contributor to the development of the first European LLMs, emphasizing data sovereignty and efficiency.

Based in Paris, the company bridges the worlds of high-tech hardware and advanced AI software, providing the tools needed for sustainable and powerful artificial intelligence. Their mission is to provide an alternative, more efficient path for the next generation of AI compute."
Helsing,2023-12-15,info@helsing.ai,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20beauty%20salon%20haircut.svg,https://helsing.ai/,Germany,EU,200,2021,Helsing GmbH,AI for Defense & Security,Real-time Information Processing; Defense Tech;,Deep Learning; Edge AI; Sensor Fusion;,Software; Systems;,Defense; Government; National Security;,"Helsing is a European defense tech company that builds AI-powered software to protect democracies. Their platform processes data from multiple sensors in real-time to provide high-level situational awareness and decision support for defense and security organizations.

Helsing's technology is designed to run at the edge, on various platforms from aircraft to ground vehicles, ensuring performance in communication-denied environments. Based in Berlin, with offices in London and Paris, Helsing is a pan-European effort to ensure that the continent remains technologically competitive in the defense sector.

The company emphasizes ethical AI and human-in-the-loop systems, adhering to the values of democratic societies. Helsing's mission is to provide the software foundation for a sovereign and technologically advanced European defense."
Pasqal (Quantum Cloud),2023-11-10,cloud@pasqal.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/object%20dna.svg,https://www.pasqal.com/,France,Global,150,2019,Pasqal SAS,Quantum Computing Cloud,Quantum-as-a-Service; Neutral Atoms;,Cloud API; Pulser SDK;,Services; Software;,Research; Industry; Startups;,"Pasqal's Quantum Cloud provides direct access to its neutral atom quantum processors for users worldwide. Through a simple web API and the open-source Pulser SDK, researchers and developers can program and run quantum simulations and optimizations on real quantum hardware.

This service is a key part of Pasqal's strategy to democratize quantum computing, enabling a wider range of users to explore the potential of the technology. The cloud platform provides a comprehensive environment for developing and testing quantum algorithms, with support for various application domains.

By offering easy access to its world-class quantum hardware, Pasqal is helping to build a global community of quantum developers and accelerate the path to practical quantum advantage. The service is hosted on secure European infrastructure, ensuring data privacy and sovereignty."
BioMed X (AI Research),2023-10-05,info@bio.mx,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20pin%20map%20location%20position.svg,https://www.bio.mx/,Germany,Global,80,2013,BioMed X Institute,AI for Drug Discovery & Biotech,Bio-Informatics; ML for Life Sciences;,Neural Networks; Data Mining;,Research; Consulting;,Pharma; Biotech; Academia;,"BioMed X is an independent research institute based in Heidelberg that uses high-performance computing and AI to accelerate breakthroughs in medicine and biotechnology. They operate at the intersection of academia and industry, bringing together top talent from around the world to solve complex biomedical challenges.

BioMed X's research teams use advanced machine learning techniques to analyze genomic data, simulate molecular interactions, and identify new drug targets. Their collaborative model, supported by major pharmaceutical companies, ensures that their research is both scientifically rigorous and practically relevant.

BioMed X is a key contributor to the European life sciences ecosystem, demonstrating the power of AI to transform how we understand and treat diseases. Their mission is to bridge the gap between fundamental research and clinical application, using the best available computational tools."
DeepL (B2B Solutions),2023-09-01,sales@deepl.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/transport%20boat%20launch.svg,https://www.deepl.com/,Germany,Global,900,2017,DeepL SE,Enterprise Translation AI,Corporate Communication; API Integration;,Glossaries; Security; Custom Models;,Software; Services; API;,Legal; Finance; Global Enterprise;,"DeepL's B2B solutions provide enterprises with the tools they need to communicate effectively across languages while maintaining the highest levels of data security and quality. Their enterprise-grade API allows for seamless integration of DeepL's world-leading translation technology into custom applications and business workflows.

Features like custom glossaries and specialized models for technical domains ensure that translations are accurate and consistent with corporate terminology. DeepL's focus on European data protection standards (GDPR) makes it the trusted choice for companies in sensitive sectors like legal and finance.

By enabling fast and high-quality translation, DeepL helps European companies expand their global reach and improve their international operations. The company's commitment to linguistic excellence and technological innovation continues to set the standard for machine translation in the business world."
Nordic Quantum,2025-05-12,hello@nordicquantum.dk,https://nordicquantum.dk/logo.svg,https://nordicquantum.dk/,Denmark,EU,35,2022,Nordic Quantum A/S,Quantum Software & Algorithms,Quantum Chemistry; Optimization; Energy;,Qiskit; PennyLane; Python;,Software; Consulting;,Energy Sector; Research; Industry;,"Nordic Quantum is a Danish startup focused on developing practical quantum algorithms for the energy transition. They specialize in quantum-classical hybrid solutions for grid optimization and battery chemistry simulation.

By leveraging the unique properties of quantum gates, Nordic Quantum aims to solve complex materials science problems that are currently intractable for classical supercomputers. Their team of physicists and data scientists works closely with European energy producers to integrate quantum readiness into their long-term R&D strategies."
HPC Now!,2025-04-20,info@hpcnow.com,https://hpcnow.com/wp-content/uploads/2021/03/logo_hpcnow.png,https://hpcnow.com/,Spain,Global,45,2013,HPCNow! Services S.L.,HPC Solutions & Consulting,Cluster Management; Performance Tuning; Cloud HPC;,Slurm; Ansible; OpenStack; Singularity;,Services; Consulting; Support;,HPC Centers; Universities; Engineering Firms;,"HPCNow! is a premier Spanish consulting firm dedicated to helping organizations manage and optimize their high-performance computing environments. They provide a full range of services, from system design and deployment to specialized support and performance benchmarking.

Their expertise in open-source tools and deep knowledge of the HPC stack makes them a vital partner for academic and industrial research centers across Europe. HPCNow! is also active in training the next generation of HPC professionals through targeted workshops and webinars."
Lighton (GenAI),2025-03-15,contact@lighton.ai,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20hospital.svg,https://lighton.ai/,France,Global,60,2016,LightOn SAS,Large Language Models,Generative AI for Enterprise; Scientific AI;,Paradigm; LLMs; Transformer architectures;,Software; API; Services;,Enterprise; Research; Public Sector;,"LightOn, based in Paris, has transitioned from optical hardware to being a leader in sovereign European large language models. Their Paradigm platform allows enterprises to deploy and fine-tune LLMs securely on their own infrastructure or in a trusted cloud.

LightOn is committed to data privacy and European values, ensuring that generative AI applications are compliant and reliable. They also explore the use of AI for scientific discovery, collaborating with research institutes to accelerate materials science and drug development."
Wave Computing (EU),2025-02-10,eu-sales@wavecomp.ai,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20grain.svg,https://wavecomp.ai/,Austria,Global,25,2020,Wave Computing Austria GmbH,AI Accelerators & Edge IP,MIPS architecture; AI Edge Processing;,Triton IPU; WaveFlow; MIPS;,IP Licensing; Hardware Design;,Automotive; Industrial; Consumer Electronics;,"Wave Computing's European division focuses on delivering high-performance AI edge processing solutions based on the MIPS architecture. Their IP allows for efficient, low-power inference in autonomous vehicles, drones, and industrial IoT devices.

By providing highly scalable and customizable AI cores, Wave Computing enables European manufacturers to integrate advanced intelligence directly into their hardware products, reducing latency and reliance on cloud-based processing."
AISC (AI Silicon),2025-01-25,info@aisc.be,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/object%20tooth%20dentist.svg,https://aisc.be/,Belgium,EU,20,2021,AISC NV,Custom AI Chip Design,ASIC; FPGA; Neural Network IP;,Verilog; HLS; TSMC process;,Hardware Design; Services;,SMEs; Research; Tech;,"AISC is a Belgian semiconductor design house specializing in custom silicon solutions for AI and deep learning workloads. They help European companies bridge the gap between algorithm development and efficient hardware implementation.

Their expertise includes designing dedicated accelerators for computer vision, speech processing, and anomaly detection. AISC works with leading foundries and provides full turnkey services from architectural specification to physical design and verification."
ExaScaler,2024-12-05,contact@exascaler.it,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/object%20axe%20firewood.svg,https://exascaler.it/,Italy,EU,15,2022,ExaScaler SpA,HPC Acceleration Software,GPU Offloading; Compiler Optimization;,OpenMP; OpenACC; C++; Fortran;,Software; Support;,HPC Centers; Research;,"ExaScaler is an Italian software company dedicated to maximizing the performance of scientific applications on accelerated supercomputers. They provide tools and libraries that simplify the process of offloading complex computations to GPUs and other specialized hardware.

Their mission is to help researchers port their legacy codes to modern exascale architectures without sacrificing performance or portability. ExaScaler's team of experts provides hands-on support for performance analysis and code refactoring, ensuring that scientific simulations run as efficiently as possible."
Quantropi (EU Operations),2024-11-20,eu@quantropi.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20people.svg,https://quantropi.com/,Luxembourg,Global,30,2020,Quantropi Europe S.A.,Quantum-Safe Cryptography,Cybersecurity; Data Encryption; Entropy;,QiSpace; TrUE Entropy; Quantum-safe VPN;,Software; Professional Services;,Finance; Telecom; Government;,"Quantropi delivers quantum-safe cryptographic solutions to protect organizations against the threat of future quantum computers. Their QiSpace platform provides high-entropy random numbers and quantum-resistant encryption for data at rest and in transit.

As a key player in the European cybersecurity landscape, Quantropi helps businesses and government agencies transition to a post-quantum security architecture. Their solutions are designed to be easily integrated into existing network infrastructures, providing immediate protection against cryptographic attacks."
Euro-BioImaging,2024-10-15,info@eurobioimaging.eu,https://eurobioimaging.eu/logo.svg,https://eurobioimaging.eu/,Finland/EU,EU,20,2008,Euro-BioImaging ERIC,AI for Biological Imaging,Image Analysis; Data Standards; Research Infra;,Deep Learning; Bio-informatics; HPC Storage;,Services; Data Access; Training;,Bioscientists; Pharma; Universities;,"Euro-BioImaging is a pan-European research infrastructure that provides open access to biological and medical imaging technologies. They increasingly leverage AI and HPC to analyze massive datasets generated by advanced microscopy and medical imaging systems.

By providing standardized data analysis pipelines and high-performance storage, Euro-BioImaging enables researchers to extract meaningful insights from complex biological images. They also foster international collaboration through training and common data standards for the bioimaging community."
Almerys,2024-09-05,contact@almerys.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/transport%20sail%20boat.svg,https://almerys.com/,France,EU,150,2000,Almerys SAS,Health Data & AI Analytics,Medical Data Management; Predictive Health;,Hadoop; Spark; MLlib; Python;,Managed Services; Software;,Health Insurance; Pharma; Research;,"Almerys is a French leader in the management of health data, providing secure platforms for analyzing medical records and insurance claims. They utilize AI and big data technologies to identify health patterns, optimize care pathways, and detect potential fraud.

Their platform is built with a strong focus on data security and compliance with European healthcare regulations. Almerys works with insurance companies, pharmaceutical labs, and research hospitals to turn raw health data into actionable insights for better patient outcomes."
Supercomputing Systems,2024-08-10,info@scs.ch,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20exit.svg,https://scs.ch/,Switzerland,Global,100,1993,Supercomputing Systems AG,HPC & Embedded R&D,Algorithm Engineering; Parallel Programming;,FPGA; DSP; CUDA; OpenCL;,Services; Consulting;,Industrial; Medical; Telecom;,"Supercomputing Systems is a Swiss engineering firm that bridge the gap between complex algorithms and high-performance implementation. They specialize in developing custom software and hardware solutions for real-time signal processing, machine vision, and industrial automation.

Their expertise spans from low-level FPGA design to high-level parallel programming on multi-core and GPU systems. SCS works with leading international companies to solve their most demanding computational challenges in sectors like medical imaging, telecommunications, and financial trading."
Neural Magic (EU),2024-07-25,eu@neuralmagic.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20circle%20shape%20geometry.svg,https://neuralmagic.com/,Germany/USA,Global,40,2018,Neural Magic GmbH,Software-Delivered AI,Model Sparsification; CPU Inference; Optimization;,DeepSparse; SparseML; Pytorch; ONNX;,Software; Support;,Enterprises; Edge Computing;,"Neural Magic's European operations focus on delivering software-based AI acceleration that allows deep learning models to run at GPU speeds on commodity CPUs. Their technology uses model sparsification and advanced pruning techniques to reduce the computational requirements of AI inference.

By enabling high-performance AI on existing server hardware, Neural Magic helps European companies reduce their infrastructure costs and simplify their deployment pipelines. Their focus on the ""software-delivered AI"" approach is particularly attractive for edge computing and private cloud environments."
Astra (HPC Bio),2024-06-12,info@astra-hpc.se,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20tennis.svg,https://astra-hpc.se/,Sweden,EU,25,2021,Astra HPC AB,AI for Drug Design,Molecular Dynamics; Virtual Screening; Bioinformatics;,GROMACS; AutoDock; DeepChem; HPC Cloud;,SaaS; Consulting;,Biotech; Pharma; Academia;,"Astra HPC is a Swedish company specializing in the use of high-performance computing for early-stage drug discovery. They provide a cloud-based platform that automates complex molecular simulations and virtual screening workflows, helping biotech companies find promising drug candidates faster.

Their team of computational chemists and HPC engineers also provides consulting services to help research labs optimize their simulations and leverage the latest AI techniques for drug design. Astra HPC is committed to making advanced computational tools accessible to the vibrant Scandinavian biotech ecosystem."
Qubits Labs,2024-05-18,contact@qubitslabs.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20escalator.svg,https://qubitslabs.com/,Estonia,Global,50,2016,Qubits Labs LLC,Quantum Tech Outstaffing,Software Engineering; AI Development; Quantum Talent;,Python; Q#; Cirq; TensorFlow;,Services; Outstaffing;,Startups; Tech Companies;,"Qubits Labs, headquartered in Estonia, provides specialized engineering talent for AI and quantum computing projects. They help startups and tech companies scale their development teams by providing access to highly skilled developers with expertise in modern computational stacks.

As a bridge to the talented Eastern European engineering pool, Qubits Labs enables companies to accelerate their R&D efforts while maintaining high quality and efficiency. They also invest in training their engineers in emerging fields like quantum programming and large-scale AI orchestration."
EPI (European Processor Initiative),2024-04-05,info@european-processor-initiative.eu,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/object%20radio%20boom%20box%20stereo.svg,https://www.european-processor-initiative.eu/,Pan-European,EU,10,2018,European Processor Initiative Consortium,HPC Microprocessors R&D,Exascale Computing; RISC-V; ARM; AI Accelerators;,Rhea; EPAC; VPU; STX;,R&D; Intellectual Property;,HPC Manufacturers; EU Commission;,"The European Processor Initiative (EPI) is a cornerstone of the EU's strategy for technological sovereignty in high-performance computing. This massive consortium brings together 28 partners from 10 European countries to design and develop the chips that will power the continent's first exascale supercomputers.

The project focuses on developing the Rhea general-purpose processor (based on ARM) and the EPAC accelerator (based on RISC-V). By building its own processor technologies, Europe aims to reduce its dependency on external providers for its most critical digital infrastructure, from weather forecasting to national security."
Zilliz (EU Operations),2024-03-20,eu@zilliz.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20horse%20riding.svg,https://zilliz.com/,Luxembourg,Global,80,2017,Zilliz Europe S.A.,Vector Databases for AI,Generative AI; Unstructured Data; Search;,Milvus; Towhee; Python; Cloud Native;,Software; Cloud Services;,Developers; Enterprise; Startups;,"Zilliz's European division provides high-performance vector database solutions to help developers build and scale generative AI applications. Their core technology, the open-source Milvus database, is specifically designed to manage and search massive amounts of unstructured data (like images and text embeddings).

In the European market, Zilliz emphasizes data privacy and high performance, providing managed services that integrate seamlessly into modern AI stacks. Their mission is to simplify the management of AI data, allowing engineers to focus on building innovative applications for everything from recommendation systems to semantic search."
Tachyum (EU),2024-02-15,info@tachyum.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/building%20lookout%20tower.svg,https://tachyum.com/,Slovakia/USA,Global,150,2016,Tachyum s.r.o.,Universal Processor for AI \u0026 HPC,Prodigy CPU; Universal Computing; Efficiency;,Prodigy; VLIW; Out-of-order; DDR5;,Hardware; Systems; IP;,Hyperscale; Cloud Providers; HPC Centers;,"Tachyum's Slovakian operations are central to the development of Prodigy, the world's first ""universal processor."" Their unique architecture combines the characteristics of a CPU, GPU, and TPU into a single chip, aiming to provide superior performance and energy efficiency for both HPC and AI workloads.

By simplifying the hardware stack, Tachyum claims to offer significant cost savings for data centers and supercomputing facilities. Their European development team works closely with regional partners to integrate Prodigy into upcoming HPC and AI cluster designs, contributing to the diversity and competitiveness of the European hardware ecosystem."
Groq (EU Office),2024-01-10,eu-sales@groq.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20bubble%20message%20message%20im%20text.svg,https://groq.com/,Germany/USA,Global,300,2016,Groq Germany GmbH,AI Language Processing,LPU Inference Engine; LLM Acceleration; Determinism;,LPU; GroqNode; Tensor Streaming;,Hardware; Systems; API;,Enterprise; Tech; Research;,"Groq's European branch focuses on delivering their LPU™ (Language Processing Unit) technology to accelerate large language models with unprecedented speed and low latency. Their deterministic architecture is uniquely suited to the requirements of real-time AI applications, from low-latency financial trading to interactive AI assistants.

In Europe, Groq works with enterprises and research institutes to deploy their GroqNodes and provide high-performance API access to flagship LLMs. Their focus on inference performance and developer experience is driving rapid adoption in the European AI market, where businesses are looking for faster and more efficient ways to serve their AI models."
Kipu Quantum,2023-12-05,contact@kipu-quantum.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20trash%20garbage%20litter%202.svg,https://kipu-quantum.com/,Germany,EU,25,2021,Kipu Quantum GmbH,Quantum Computing Software,Application-Specific Quantum Algorithms; Digital-Analog Quantum;,QAOA; VQE; Python;,Software; Consulting;,Industry; Finance; Pharma;,"Kipu Quantum is a German startup dedicated to building the most efficient quantum algorithms for the NISQ (Noisy Intermediate-Scale Quantum) era. Their unique digital-analog approach aims to achieve practical quantum advantage much sooner than traditional gate-based methods.

Based in Berlin and Karlsruhe, the company collaborates with industrial partners to solve complex optimization and simulation problems in finance, logistics, and chemistry. Their mission is to unlock the value of current quantum hardware for real-world applications, bridging the gap between scientific research and commercial use."
EleutherAI (EU Contributors),2023-11-15,community@eleuther.ai,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20audio%20sound%20volume%20music.svg,https://eleuther.ai/,Non-Profit,Global,200,2020,EleutherAI Institute,Open Source AI Research,LLM Training; Dataset Curation; Transparency;,GPT-Neo; GPT-J; The Pile; Python;,Open Source; Research;,Research Community; Public;,"EleutherAI is a decentralized research collective with a strong and active European contributor base. They are dedicated to democratizing AI research by creating and releasing large-scale open-source language models and high-quality datasets.

Their projects, such as GPT-Neo and the Polygot series, have provided the European research community with essential tools for exploring the capabilities and risks of generative AI. EleutherAI emphasizes transparency and academic rigor, fostering international collaboration and ensuring that advanced AI technology remains accessible to all."
Planetary Computer (EU),2023-10-20,eu@planetary.ai,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20star%20star%20like%20save%20favourite.svg,https://planetary.ai/,Norway/Global,Global,40,2021,Planetary AI AS,AI for Earth Observation,Sustainability; Climate Risk; Big Data;,Pangeo; STAC; Python; Cloud HPC;,SaaS; Data Services;,Government; Environment; NGOs;,"Planetary AI (EU) specializes in using high-performance computing to process and analyze massive amounts of satellite and sensor data for environmental monitoring. Their platform provides researchers and policymakers with high-resolution insights into climate change, deforestation, and biodiversity loss.

Based in Norway, the company leverages the country's extensive expertise in earth observation and sustainability. They work with European space agencies and international organizations to build data-driven tools for climate resilience and sustainable resource management, using AI to turn complex planetary data into actionable knowledge."
Hadean (HPC Metaverse),2023-09-12,info@hadean.com,https://hadean.com/logo.svg,https://hadean.com/,UK,Global,80,2015,Hadean Ventures Ltd.,Distributed Computing & AI,Spatial Simulation; Scalable Infrastructure; WEB3;,Hadean Platform; Rust; WebAssembly;,Software; Services;,Gaming; Defense; Enterprise;,"Hadean is a UK-based company that has developed a unique distributed computing platform for massive spatial simulations and AI-rich virtual environments. Their technology allows for unprecedented scale and performance, enabling thousands of simultaneous users or agents to interact in a single, seamless world.

Beyond gaming, Hadean's technology is applied in defense for complex battle simulations and in disaster response planning. Their focus on efficient resource management and high-level abstractions makes their platform ideal for the next generation of ""metaverse"" applications and large-scale digital twins."
